_date,total_views,unique_views
2022-09-25,1,1
2022-09-27,4,3
2022-09-28,2,2
2022-10-05,5,1
2022-10-06,2,2
2022-10-08,1,1
2022-10-10,12,1
2022-10-11,1,1
2022-10-12,12,3
2022-10-13,1,1
2022-10-14,5,3
2022-10-19,3,1
2022-10-20,2,1
2022-10-21,1,1
2022-10-24,1,1
2022-10-27,2,2
2022-10-28,2,2
2022-11-02,1,1
2022-11-03,3,3
2022-11-04,5,2
2022-11-05,2,2
2022-11-08,3,2
2022-11-09,4,4
2022-11-10,4,3
2022-11-12,7,1
2022-11-14,2,2
2022-11-16,2,2
2022-11-18,2,1
2022-11-23,4,4
2022-11-24,2,2
2022-11-28,1,1
2022-11-29,1,1
2022-12-01,2,2
2022-12-02,2,1
2022-12-03,1,1
2022-12-04,3,1
2022-12-05,1,1
2022-12-06,3,3
2022-12-07,2,2
2022-12-15,1,1
2022-12-18,3,3
2022-12-23,2,2
2023-01-02,1,1
2023-01-05,2,2
2023-01-06,2,2
2023-01-08,1,1
2023-01-11,2,2
2023-01-12,1,1
2023-01-13,6,4
2023-01-14,2,2
2023-01-17,2,2
2023-01-18,1,1
2023-01-23,1,1
2023-01-26,3,2
2023-02-05,1,1
2023-02-06,1,1
2023-02-08,1,1
2023-02-15,1,1
2023-02-17,1,1
2023-02-20,5,2
2023-02-21,1,1
2023-02-27,1,1
2023-02-28,4,1
2023-03-01,1,1
2023-03-02,3,1
2023-03-05,8,1
2023-03-06,1,1
2023-03-09,4,3
2023-03-10,1,1
2023-03-12,8,4
2023-03-14,1,1
2023-03-15,2,1
2023-03-16,2,1
2023-03-17,11,2
2023-03-20,1,1
2023-03-21,1,1
2023-03-24,3,1
2023-03-27,4,2
2023-03-28,2,1
2023-03-30,1,1
2023-04-03,1,1
2023-04-04,1,1
2023-04-05,2,2
2023-04-08,2,2
2023-04-10,1,1
2023-04-11,2,2
2023-04-12,2,2
2023-04-13,1,1
2023-04-14,6,1
2023-04-15,1,1
2023-04-18,11,3
2023-04-19,2,1
2023-04-20,1,1
2023-04-25,10,3
2023-04-26,2,2
2023-04-27,1,1
2023-04-28,3,2
2023-04-29,2,1
2023-05-03,15,2
2023-05-04,1,1
2023-05-05,11,1
2023-05-06,1,1
2023-05-07,1,1
2023-05-08,8,1
2023-05-09,1,1
2023-05-10,21,3
2023-05-11,1,1
2023-05-13,1,1
2023-05-14,6,3
2023-05-15,1,1
2023-05-16,7,3
2023-05-17,1,1
2023-05-18,4,2
2023-05-22,1,1
2023-05-23,1,1
2023-05-24,4,1
2023-05-25,1,1
2023-05-26,2,2
2023-05-28,6,2
2023-05-29,1,1
2023-05-30,1,1
2023-05-31,1,1
2023-06-01,5,2
2023-06-02,3,1
2023-06-05,16,1
2023-06-06,7,3
2023-06-08,3,1
2023-06-09,1,1
2023-06-10,1,1
2023-06-11,13,1
2023-06-12,2,2
2023-06-13,5,2
2023-06-17,1,1
2023-06-18,1,1
2023-06-20,51,2
2023-06-21,1,1
2023-06-26,1,1
2023-06-30,5,1
2023-07-01,1,1
2023-07-02,7,1
2023-07-04,2,1
2023-07-06,1,1
2023-07-10,1,1
2023-07-11,2,1
2023-07-12,1,1
2023-07-13,2,2
2023-07-19,1,1
2023-07-20,1,1
2023-07-21,2,1
2023-07-26,3,2
2023-07-30,2,1
2023-07-31,1,1
2023-08-01,1,1
2023-08-07,1,1
2023-08-09,2,1
2023-08-10,3,1
2023-08-14,1,1
2023-08-22,1,1
2023-08-28,2,2
2023-08-29,1,1
2023-09-04,3,1
2023-09-05,2,1
2023-09-06,4,1
2023-09-10,3,1
2023-09-12,1,1
2023-09-15,2,1
2023-09-18,2,1
2023-09-19,2,1
2023-09-21,1,1
2023-09-23,12,1
2023-09-24,11,1
2023-09-25,1,1
2023-09-26,21,2
2023-09-27,8,3
2023-09-28,7,2
2023-10-01,4,1
2023-10-03,3,2
2023-10-05,14,3
2023-10-06,1,1
2023-10-07,2,2
2023-10-08,3,3
2023-10-09,1,1
2023-10-15,7,1
2023-10-17,1,1
2023-10-19,1,1
2023-10-20,5,1
2023-10-23,2,2
2023-10-24,2,2
2023-10-27,1,1
2023-10-28,1,1
2023-10-29,61,1
2023-10-30,39,4
2023-10-31,8,4
2023-11-04,3,1
2023-11-07,6,2
2023-11-27,1,1
2023-11-28,1,1
2023-11-29,5,2
2023-11-30,23,2
2023-12-09,1,1
2023-12-11,1,1
2023-12-12,2,1
2023-12-15,4,2
2023-12-20,3,1
2023-12-22,11,1
2023-12-28,9,1
2024-01-08,3,2
2024-01-16,3,1
2024-01-19,1,1
2024-01-22,2,1
2024-01-24,9,3
2024-01-25,1,1
2024-01-29,1,1
2024-01-30,1,1
2024-02-01,1,1
2024-02-16,8,1
2024-02-19,1,1
2024-02-20,2,1
2024-02-23,2,1
2024-02-27,7,1
2024-02-28,4,2
2024-03-02,40,1
2024-03-03,151,3
2024-03-04,105,3
2024-03-05,31,3
2024-03-06,2,2
2024-03-14,17,2
2024-03-15,3,1
2024-03-19,1,1
2024-03-20,1,1
2024-03-21,2,2
2024-03-23,8,1
2024-03-24,1,1
2024-03-28,5,1
2024-04-01,3,1
2024-04-02,1,1
2024-04-03,72,2
2024-04-04,4,2
2024-04-05,7,5
2024-04-07,4,1
2024-04-10,5,2
2024-04-11,10,2
2024-04-12,1,1
2024-04-17,2,1
2024-04-19,1,1
2024-04-20,1,1
2024-04-21,6,6
2024-04-22,50,43
2024-04-23,59,53
2024-04-24,4,1
2024-04-26,1,1
2024-04-28,1,1
2024-05-03,6,2
2024-05-06,19,2
2024-05-08,1,1
2024-05-09,1,1
2024-05-10,17,15
2024-05-12,1,1
2024-05-14,1,1
2024-05-15,1,1
2024-05-16,2,2
2024-05-21,40,2
2024-05-27,1,1
2024-05-28,17,16
2024-05-30,1,1
2024-06-10,1,1
2024-06-12,1,1
